	shrimp	almonds	avocado	vegetables mix	green grapes	whole weat flour	yams	cottage cheese	energy drink	tomato juice	low fat yogurt	green tea	honey	salad	mineral water	salmon	antioxydant juice	frozen smoothie	spinach	olive oil
0	burgers	meatballs	eggs																	
1	chutney																			
2	turkey	avocado																		
3	mineral water	milk	energy bar	whole wheat rice	green tea															
4	low fat yogurt																			
5	whole wheat pasta	french fries																		
6	soup	light cream	shallot																	
7	frozen vegetables	spaghetti	green tea																	
8	french fries																			
9	eggs	pet food																		
10	cookies																			
11	turkey	burgers	mineral water	eggs	cooking oil															
12	spaghetti	champagne	cookies																	
13	mineral water	salmon																		
14	mineral water																			
15	shrimp	chocolate	chicken	honey	oil	cooking oil	low fat yogurt													
16	turkey	eggs																		
17	turkey	fresh tuna	tomatoes	spaghetti	mineral water	black tea	salmon	eggs	chicken	extra dark chocolate										
18	meatballs	milk	honey	french fries	protein bar															
19	red wine	shrimp	pasta	pepper	eggs	chocolate	shampoo													
20	rice	sparkling water																		
21	spaghetti	mineral water	ham	body spray	pancakes	green tea														
22	burgers	grated cheese	shrimp	pasta	avocado	honey	white wine	toothpaste												
23	eggs																			
24	parmesan cheese	spaghetti	soup	avocado	milk	fresh bread														
25	ground beef	spaghetti	mineral water	milk	energy bar	black tea	salmon	frozen smoothie	escalope											
26	sparkling water																			
27	mineral water	eggs	chicken	chocolate	french fries															
28	frozen vegetables	spaghetti	yams	mineral water																
29	herb & pepper	tomato sauce	light cream	magazines																
30	mineral water	chocolate	avocado	eggs																
31	turkey	french fries	strawberries																	
32	frozen vegetables	strong cheese	chocolate																	
33	cookies																			
34	pickles	spaghetti	salmon	escalope																
35	energy bar	french fries																		
36	red wine	ground beef	mineral water																	
37	mineral water	cake	cottage cheese																	
38	pickles	champagne	green tea																	
39	spaghetti																			
40	fresh tuna	frozen vegetables	spaghetti	mineral water	honey	whole wheat rice	frozen smoothie	escalope												
41	spaghetti																			
42	soup	meatballs	hot dogs	sparkling water																
43	escalope																			
44	soup	avocado	french fries	hot dogs	brownies	body spray	pancakes	green tea												
45	mineral water	chicken	cereals	clothes accessories																
46	mineral water	bug spray																		
47	avocado	muffins																		
48	burgers	black tea	green tea																	
49	spaghetti	chocolate	brownies	white wine	green tea															
50	fresh tuna	mineral water	eggs																	
51	spaghetti	muffins																		
52	spaghetti	chocolate																		
53	french fries	escalope	champagne																	
54	tomato sauce	light mayo																		
55	turkey	fresh tuna	frozen vegetables	tomatoes	ground beef	spaghetti	mineral water	chocolate	soup	milk	olive oil									
56	eggs	cookies																		
57	soup	chicken	gums	soda	body spray	energy drink	green tea													
58	turkey	frozen vegetables	mineral water	cider	cooking oil	green tea														
59	spaghetti																			
60	clothes accessories																			
61	energy drink																			
62	soup	bug spray	shallot	protein bar	green tea															
63	turkey	eggs																		
64	french fries																			
65	chocolate	milk																		
66	herb & pepper	whole wheat pasta	ground beef	mineral water	avocado	cider	whole wheat rice													
67	cookies																			
68	shrimp	pasta																		
69	grated cheese	herb & pepper	tomatoes	tomato sauce	corn															
70	burgers	escalope	shallot																	
71	cookies																			
72	yogurt cake																			
73	soup	eggs																		
74	cookies																			
75	mineral water	chocolate	low fat yogurt																	
76	eggs	strawberries																		
77	grated cheese	ground beef	spaghetti	mineral water	white wine															
78	mint																			
79	eggs	cake	french fries																	
80	burgers	spaghetti	milk	french fries	green tea															
81	mineral water	energy bar	butter	french fries																
82	burgers	grated cheese	herb & pepper	mineral water	eggs	cooking oil														
83	energy bar																			
84	energy bar	energy drink																		
85	chocolate	frozen smoothie																		
86	low fat yogurt																			
87	asparagus	salad																		
88	burgers	french fries	low fat yogurt	green tea																
89	low fat yogurt																			
90	burgers	herb & pepper	shrimp	pasta	spaghetti	mineral water	meatballs	olive oil	energy bar	french wine	eggs	salt								
91	champagne	low fat yogurt																		
92	champagne																			
93	burgers	almonds	eggs	french fries	cookies	green tea														
94	ham	soup	escalope	body spray																
95	turkey	ham	frozen vegetables	pepper	oil	extra dark chocolate	tea	magazines												
96	muffins	eggs	cookies																	
97	cookies																			
98	frozen vegetables	whole wheat pasta	ground beef	spaghetti	chocolate	green tea														
99	mineral water	barbecue sauce	chocolate																	
100	burgers	herb & pepper	energy bar	almonds	eggs	corn	mayonnaise	zucchini												
101	turkey	burgers	ground beef	chocolate	soup	almonds	eggs	hot dogs	cottage cheese											
102	ham	spaghetti	chocolate	eggs																
103	ground beef	energy bar	pet food	carrots	protein bar															
104	ground beef	tomato sauce	spaghetti	mineral water	almonds	eggs														
105	mineral water	olive oil	gums	cooking oil																
106	shrimp	pasta	mineral water	soup	avocado	milk	olive oil	green grapes	eggs	bug spray										
107	shrimp	pasta	soup	cake	cooking oil	chicken	light mayo	low fat yogurt												
108	spaghetti	mineral water	chocolate	french fries	champagne	escalope	mushroom cream sauce	fresh bread												
109	shrimp	pasta	mineral water	eggs																
110	burgers	oil	tomato juice	fresh bread																
111	french wine	eggs	chocolate	low fat yogurt																
112	chicken	eggs	french fries	pancakes																
113	turkey	herb & pepper	salmon	white wine	candy bars															
114	grated cheese	spaghetti	olive oil	eggs	french fries	green tea														
115	mineral water	energy bar																		
116	eggs	french fries																		
117	burgers	tomatoes	mineral water	soup	milk	almonds	eggs	chocolate	tomato juice											
118	muffins																			
119	pasta																			
120	tomatoes	spaghetti	frozen smoothie																	
121	ground beef	spaghetti	milk																	
122	french fries																			
123	chocolate	milk																		
124	burgers	shrimp	pasta	frozen vegetables	spaghetti	mineral water	milk	eggs	chocolate	french fries	pancakes	low fat yogurt								
125	ground beef	mineral water	antioxydant juice	protein bar																
126	grated cheese	whole wheat pasta	ground beef	spaghetti	cake	energy drink														
127	grated cheese																			
128	pancakes																			
129	frozen smoothie																			
130	carrots	green tea																		
131	chocolate																			
132	turkey	burgers	chocolate	olive oil	eggs	cooking oil	corn													
133	frozen vegetables	tomatoes	pepper	spaghetti	mineral water	pancakes	chicken	chili	tea	french fries	tomato juice	fresh bread								
134	cookies																			
135	ground beef																			
136	turkey	eggs	chocolate	frozen smoothie	tomato juice															
137	frozen vegetables	cooking oil	mashed potato																	
138	frozen vegetables	ground beef	tomato sauce	mineral water	meatballs	olive oil	light cream	tomato juice												
139	red wine	spaghetti	mineral water	soup	milk	eggs	cake	gums	cooking oil	chocolate	frozen smoothie									
140	chocolate	tomatoes	spaghetti	mineral water	avocado	milk	olive oil	eggs	rice	french fries	brownies									
141	chocolate	shrimp	pasta	frozen vegetables	ground beef	mineral water	nonfat milk	eggs												
142	turkey	shrimp	pasta	pepper	spaghetti	mineral water	eggs	chicken	french fries											
143	cookies																			
144	turkey	tomatoes	cake																	
145	yams	mineral water	soup	milk	pancakes	whole wheat rice	barbecue sauce	carrots	chocolate	champagne										
146	rice																			
147	chocolate	milk																		
148	shrimp	pasta	frozen vegetables	water spray																
149	burgers	mineral water	milk	eggs	whole wheat rice	mint														
150	mineral water	vegetables mix	cake	frozen smoothie	brownies															
151	cookies																			
152	shrimp	pasta	chicken	chocolate bread																
153	shallot																			
154	shrimp	pasta	spaghetti	eggs	hot dogs	green tea														
155	burgers																			
156	red wine	ground beef	spaghetti	mineral water	milk	olive oil	strong cheese	light cream	cooking oil											
157	burgers	grated cheese	spaghetti	avocado	milk	oil	french fries													
158	herb & pepper	whole wheat pasta	ground beef	mineral water	olive oil															
159	shrimp	pasta	yams	milk	chocolate															
160	butter	green tea																		
161	light mayo																			
162	low fat yogurt																			
163	herb & pepper	shrimp	pasta	spaghetti	milk															
164	burgers	eggs																		
165	turkey	herb & pepper	ground beef	soup	avocado	milk	black tea	eggs	barbecue sauce	carrots	cookies	tomato juice	fresh bread							
166	cookies																			
167	escalope																			
168	pepper	french fries	strawberries	pancakes	low fat yogurt															
169	frozen vegetables	yams	chicken	honey	light mayo															
170	chocolate	champagne																		
171	herb & pepper	honey	cake	rice	protein bar															
172	burgers	chocolate	frozen vegetables	ground beef	mineral water	milk	light mayo	asparagus												
173	chocolate	mineral water	corn	cottage cheese	green tea															
174	muffins																			
175	ham	french wine	escalope																	
176	spaghetti	milk	whole wheat rice	mint green tea																
177	chocolate	body spray																		
178	frozen vegetables	french fries	hot dogs																	
179	candy bars																			
180	burgers	shrimp	pasta	milk	green tea	french fries	cookies	white wine												
181	parmesan cheese	ground beef																		
182	pancakes	whole wheat rice	candy bars																	
183	eggs	eggplant	cookies																	
184	frozen vegetables	mineral water																		
185	chocolate																			
186	turkey	spaghetti	milk	whole wheat rice	chocolate															
187	whole wheat pasta	ground beef	spaghetti	soup	meatballs	chicken	blueberries	cooking oil	champagne	yogurt cake	protein bar									
188	cooking oil	tomato juice																		
189	frozen vegetables	milk	eggs	french fries	green tea															
190	fresh tuna	spaghetti	olive oil	french wine	eggs	french fries	champagne	pancakes	light mayo											
191	red wine	honey	hot dogs																	
192	milk	bacon	eggs	french fries	fresh bread															
193	french fries	yogurt cake																		
194	milk																			
195	french fries																			
196	chocolate																			
197	burgers	ham	red wine																	
198	shrimp	pasta	tomatoes	energy bar	french wine	antioxydant juice	french fries	frozen smoothie	brownies											
199	green tea																			
200	low fat yogurt																			
201	turkey	spaghetti	mineral water	soup	spinach	soda	energy drink	salt												
202	turkey	eggs																		
203	bug spray	hot dogs																		
204	oil																			
205	soup	energy bar	chicken	eggs	cake	french fries	body spray	strawberries												
206	spaghetti	chocolate	yogurt cake																	
207	turkey	mineral water	meatballs																	
208	ground beef	mineral water	chocolate	fromage blanc	bacon	hot dogs														
209	frozen vegetables	mineral water	vegetables mix	escalope																
210	herb & pepper	red wine	tomatoes																	
211	whole wheat pasta	olive oil	cereals	brownies	green tea															
212	cookies																			
213	olive oil	cookies	mushroom cream sauce																	
214	ground beef	pancakes	cooking oil	gluten free bar	light mayo															
215	mineral water	french fries																		
216	herb & pepper																			
217	salmon																			
218	eggs	escalope																		
219	mineral water	tomato juice																		
220	mineral water																			
221	shrimp	mineral water	soup	black tea																
222	cake	frozen smoothie																		
223	turkey	burgers	grated cheese	tomatoes	chocolate	fromage blanc	honey	whole wheat rice												
224	frozen vegetables	ground beef	mineral water	olive oil	pancakes															
225	turkey	burgers	ground beef	milk	olive oil	cake	fresh bread													
226	whole wheat pasta	ground beef	spaghetti	yams	mineral water	soup	chutney	cereals	energy drink	protein bar										
227	eggs	whole wheat rice	cake	green tea	escalope															
228	ground beef	yams	soup	avocado	salmon	green tea														
229	milk																			
230	spaghetti	chocolate																		
231	whole wheat pasta	honey																		
232	whole wheat pasta	green tea																		
233	spaghetti	meatballs	vegetables mix	chocolate																
234	eggs	low fat yogurt																		
235	fresh tuna	shrimp	pasta	mineral water	olive oil	eggs	cake	brownies	tomato juice											
236	mineral water	green grapes	hot dogs	fresh bread																
237	frozen vegetables	meatballs	eggs	chocolate																
238	chocolate																			
239	meatballs	milk																		
240	low fat yogurt																			
241	green tea																			
242	escalope	pasta																		
243	pepper	chocolate	olive oil	french wine	salmon	rice	light mayo	fresh bread	magazines											
244	red wine	french wine	vegetables mix	rice	clothes accessories	hot dogs	green tea													
245	burgers	dessert wine	spaghetti	chicken	cake	protein bar	green tea													
246	french wine	cake	fresh bread																	
247	burgers	frozen vegetables	flax seed	eggs																
248	red wine																			
249	pepper	mineral water	energy bar	green grapes																
250	milk	eggs	cake	chocolate	french fries	green tea														
251	french fries																			
252	almonds																			
253	burgers	mineral water	green tea																	
254	milk	pancakes																		
255	pancakes	eggs	salt	tomato juice																
256	mineral water																			
257	ham	spaghetti	mineral water	olive oil																
258	salt	tomato juice	fresh bread																	
259	spaghetti	mushroom cream sauce																		
260	spaghetti	mineral water	eggs	pet food																
261	frozen vegetables	spaghetti																		
262	energy drink																			
263	muffins																			
264	turkey	milk																		
265	cookies																			
266	chocolate																			
267	spaghetti	mineral water	eggs	cooking oil	chocolate	escalope														
268	shrimp	frozen vegetables	pepper	spaghetti	green tea															
269	burgers	fresh tuna	red wine	mineral water	french fries	hand protein bar	low fat yogurt													
270	pancakes	eggs	energy drink	fresh bread																
271	strong cheese	salmon	green tea	french fries	frozen smoothie	hot dogs														
272	grated cheese	shrimp	pasta	tomatoes	milk	frozen smoothie	sandwich													
273	herb & pepper	whole wheat pasta	olive oil	pancakes	eggs															
274	spaghetti	antioxydant juice																		
275	chocolate	milk	almonds	eggs	strawberries	white wine														
276	french fries	strawberries																		
277	mineral water																			
278	eggs																			
279	escalope																			
280	cake																			
281	whole wheat pasta	antioxydant juice	body spray	green tea																
282	mineral water	oil	frozen smoothie																	
283	french fries	champagne																		
284	chocolate	french fries																		
285	frozen vegetables	spaghetti	eggs																	
286	hot dogs																			
287	chocolate	cookies																		
288	pancakes																			
289	shrimp	butter	chicken	salmon																
290	chocolate	cookies	babies food																	
291	pepper	spaghetti	cake	chocolate	french fries	fresh bread														
292	avocado	oil	cereals	french fries																
293	herb & pepper	spaghetti	mineral water	spinach	eggs	oil	cooking oil	green tea	shampoo	tomato juice	low fat yogurt									
294	herb & pepper	frozen vegetables	ground beef	pepper	spaghetti	mint green tea	french fries													
295	french fries																			
296	green tea	tomato juice																		
297	eggs	whole wheat rice	chocolate																	
298	grated cheese	herb & pepper	red wine	spaghetti	mineral water	salmon	eggs	cooking oil	green tea											
299	french fries	cookies	shallot	tomato juice	fresh bread	low fat yogurt														
300	burgers	fresh tuna	spaghetti	muffins	honey															
301	herb & pepper	ground beef	spaghetti	eggs	chicken															
302	grated cheese	muffins	tomato juice	mayonnaise																
303	whole wheat pasta	yams	mineral water	muffins	frozen smoothie	hot dogs	energy drink													
304	burgers	spaghetti	soup	milk	olive oil	salmon	eggs	blueberries												
305	chocolate	champagne	magazines																	
306	frozen vegetables	spaghetti	yams	mineral water	french wine	green grapes	rice	chocolate												
307	tomato sauce	chocolate																		
308	milk	eggs																		
309	pet food																			
310	yogurt cake																			
311	green tea																			
312	escalope	pasta																		
313	herb & pepper	ground beef																		
314	mineral water	honey	brownies																	
315	turkey	eggs	cake	energy drink																
316	turkey	burgers	dessert wine	ground beef	soup	salmon	eggs	gums	tomato juice	candy bars										
317	spaghetti	mineral water	chicken																	
318	turkey	ground beef	carrots	french fries	melons															
319	mineral water	eggs	low fat yogurt																	
320	turkey	cooking oil	shampoo																	
321	spaghetti	hot dogs																		
322	chocolate	green tea																		
323	grated cheese	pepper	mineral water	chocolate	eggs	cake	mashed potato	tomato juice												
324	chocolate																			
325	spaghetti	olive oil	strong cheese	pancakes																
326	red wine	mineral water	soup	rice	cookies															
327	red wine	shrimp	spaghetti																	
328	green tea																			
329	mineral water	chicken	french fries	frozen smoothie																
330	muffins																			
331	cake	chocolate																		
332	fresh tuna	tomatoes	mineral water	soup	avocado	meatballs	olive oil													
333	turkey	french fries																		
334	burgers	turkey	herb & pepper	ground beef	pancakes	eggs	light cream	rice	champagne	fresh bread										
335	escalope																			
336	chocolate	escalope	fresh bread																	
337	ham	spaghetti	french wine	vegetables mix	chocolate	french fries														
338	avocado	light mayo																		
339	spaghetti	yams	butter	chocolate																
340	energy bar	eggs	french fries																	
341	fresh tuna	barbecue sauce	eggplant																	
342	energy drink																			
343	whole wheat rice	french fries	hot dogs	green tea																
344	mineral water	chicken	green tea																	
345	eggs	cake	mushroom cream sauce																	
346	escalope																			
347	antioxydant juice	escalope																		
348	shrimp	spaghetti	french fries																	
349	grated cheese	spaghetti	salmon	tomato juice																
350	spaghetti	green tea																		
351	champagne	protein bar																		
352	mineral water	avocado	chocolate																	
353	tomatoes	champagne	green tea																	
354	chicken	french fries	escalope																	
355	frozen vegetables	tomatoes	eggs	green tea	frozen smoothie	light mayo														
356	ground beef	chicken	cider	green grapes	honey	chocolate	french fries	champagne	frozen smoothie	escalope										
357	french fries	champagne																		
358	mineral water	soup																		
359	frozen vegetables	spaghetti	milk	chocolate	babies food															
360	honey	whole wheat rice																		
361	whole wheat rice	chicken	tomato juice																	
362	pancakes																			
363	green tea	protein bar	tomato juice	candy bars																
364	french fries																			
365	mineral water																			
366	escalope																			
367	grated cheese	herb & pepper	whole wheat pasta	yams	mineral water	bacon	nonfat milk	spinach												
368	spaghetti	milk																		
369	milk	chocolate	white wine																	
370	sandwich																			
371	chocolate	light mayo																		
372	shrimp	whole wheat pasta	spaghetti	meatballs	chicken	frozen smoothie	tomato juice													
373	red wine	ground beef	spaghetti	mineral water	eggs															
374	yams	melons																		
375	spaghetti	cooking oil																		
376	french fries																			
377	mineral water	milk	spinach	cooking oil	chocolate	frozen smoothie	hot dogs													
378	tomato sauce	milk																		
379	shrimp	cider	eggs	french fries																
380	champagne																			
381	salad																			
382	french fries																			
383	frozen vegetables	mineral water	energy bar	honey	rice	green tea														
384	french fries	salad																		
385	honey	chocolate	french fries	brownies																
386	green tea	strawberries	gluten free bar																	
387	frozen vegetables	ground beef	mineral water	salmon	honey	extra dark chocolate	green tea	mushroom cream sauce	gluten free bar											
388	grated cheese	tomatoes	mineral water	meatballs																
389	shrimp	chocolate	water spray																	
390	turkey																			
391	turkey	eggs																		
392	turkey	frozen vegetables	tomatoes	soup	butter	french wine	pancakes	eggs	tomato juice	fresh bread	green tea									
393	spaghetti																			
394	milk	frozen smoothie	low fat yogurt																	
395	burgers	mineral water	milk	whole wheat rice	cereals	chocolate	french fries													
396	mineral water																			
397	tomatoes	mineral water	soup	cake	chocolate															
398	mineral water																			
399	ground beef	spaghetti																		
400	pepper	frozen smoothie																		
401	yogurt cake																			
402	red wine	pancakes																		
403	candy bars																			
404	eggs	french fries	low fat yogurt																	
405	cookies																			
406	cookies																			
407	spaghetti	soup	vegetables mix	spinach	french fries	escalope	cauliflower	toothpaste												
408	cookies																			
409	soup	olive oil	eggs	soda	corn															
410	chocolate	frozen smoothie	low fat yogurt																	
411	spaghetti	mineral water	milk	pancakes	chocolate	french fries														
412	mineral water																			
413	herb & pepper	frozen vegetables	tomato sauce	mineral water	soup	milk	olive oil	almonds												
414	burgers	eggs																		
415	french fries																			
416	frozen smoothie	cottage cheese																		
417	tomatoes	mineral water	chocolate	light mayo																
418	salmon	escalope	shallot	strawberries	fresh bread	low fat yogurt														
419	energy bar																			
420	red wine	ground beef	spaghetti	pancakes	blueberries	oil	cooking oil	tomato juice												
421	ground beef	spaghetti	mineral water	milk	frozen smoothie	champagne														
422	cookies																			
423	salmon	escalope																		
424	cookies																			
425	low fat yogurt																			
426	eggs																			
427	red wine	butter	hot dogs																	
428	tomatoes	mineral water	soup	mashed potato																
429	cookies																			
430	parmesan cheese	ground beef	salmon	pancakes	champagne															
431	ground beef	yams	chocolate	olive oil	eggs															
432	shrimp	salmon	eggs	cookies	hot dogs															
433	magazines	mint																		
434	turkey	mineral water	eggs	cooking oil	extra dark chocolate	escalope														
435	mineral water	mushroom cream sauce																		
436	grated cheese	frozen vegetables	mineral water	soup	milk	french wine														
437	chocolate	cake																		
438	burgers	salt	white wine																	
439	energy drink																			
440	olive oil	cake	energy drink																	
441	ground beef	whole wheat rice																		
442	eggs	french fries																		
443	spaghetti	escalope	mushroom cream sauce																	
444	mineral water	fromage blanc	whole wheat rice	cake	french fries															
445	turkey	burgers	frozen vegetables	ground beef	mineral water	milk	eggs	cake	light mayo											
446	green tea	cottage cheese																		
447	fresh tuna	eggs	champagne																	
448	cookies																			
449	cookies																			
450	cookies																			
451	tomatoes	mineral water	eggplant																	
452	grated cheese	tomatoes	spaghetti	mineral water	soup	honey	chicken	chocolate	french fries											
453	protein bar																			
454	herb & pepper	red wine	shrimp	mineral water	barbecue sauce	protein bar														
455	burgers	ham	spaghetti	mineral water	milk	eggs	french fries	escalope	pancakes	low fat yogurt										
456	french fries																			
457	frozen vegetables	soup	milk	eggs	whole wheat rice	chocolate	escalope	melons												
458	spaghetti																			
459	herb & pepper	shrimp	soup	eggs	oil	cooking oil	energy drink	protein bar	low fat yogurt											
460	ham	grated cheese	herb & pepper	shrimp	ground beef	spaghetti	mineral water	carrots												
461	ham	red wine	ground beef	yams	mineral water	chocolate	low fat yogurt													
462	chocolate	french fries	mushroom cream sauce	cottage cheese	low fat yogurt															
463	eggs																			
464	cake	cookies																		
465	grated cheese	mineral water	cake	chocolate bread																
466	tomatoes	almonds	cake	champagne	low fat yogurt															
467	herb & pepper	shrimp	frozen vegetables	milk	butter	salmon	eggs	chocolate												
468	herb & pepper	shrimp	whole wheat pasta	whole wheat rice	chicken	green tea	cauliflower													
469	eggs	corn																		
470	shrimp	frozen vegetables	tomato sauce	mineral water	chocolate	soup	olive oil	salmon	green beans	champagne										
471	ham	herb & pepper	tomato sauce	mineral water	green grapes	eggs	gums	light cream	oil	green tea	mint									
472	energy bar	cake	chocolate																	
473	herb & pepper	shrimp	spaghetti	eggs																
474	fresh tuna	mineral water	honey	cooking oil																
475	red wine	mineral water	oil	ketchup	chili	pet food	eggplant	green tea	escalope	tomato juice	low fat yogurt									
476	herb & pepper	shrimp	mineral water	pancakes	eggs	cake	blueberries	tea	frozen smoothie											
477	ground beef	mineral water	protein bar																	
478	shrimp	frozen vegetables	parmesan cheese	spaghetti	salmon	carrots	frozen smoothie	pasta	mashed potato	shallot	light mayo	magazines								
479	milk	chocolate																		
480	frozen vegetables	ground beef	spaghetti	olive oil	whole wheat rice	eggplant	cottage cheese													
481	turkey	ground beef	low fat yogurt																	
482	herb & pepper	spaghetti	mineral water	whole wheat rice	cake	hot dogs	green tea													
483	green tea																			
484	cookies																			
485	eggs	cookies																		
486	spaghetti	eggs	ham	chocolate	french fries	champagne	brownies	pancakes	light mayo											
487	red wine	spaghetti	milk	eggs	chocolate															
488	turkey	burgers	pancakes	french fries	strawberries	green tea														
489	escalope																			
490	frozen vegetables	pancakes	eggs	cake																
491	french fries																			
492	turkey	ground beef	pepper	spaghetti	honey	cookies														
493	chocolate	red wine	tomato sauce	olive oil	chili	french fries	cookies	salt	fresh bread	magazines										
494	green tea	french fries																		
495	mineral water																			
496	cooking oil																			
497	frozen vegetables	spaghetti																		
498	ham	spaghetti																		
499	chicken	chocolate	cookies																	
500	low fat yogurt																			
501	eggs	cake	low fat yogurt																	
502	shrimp	spaghetti	mineral water	soup	milk	bramble	frozen smoothie	cottage cheese												
503	mineral water	eggs	protein bar																	
504	turkey	shrimp	meatballs	butter	eggs	salad	green tea													
505	fresh tuna	spaghetti	chocolate	olive oil	chicken	french fries														
506	turkey	shrimp	escalope	hot dogs																
507	burgers	pepper	soup	milk	pancakes	green tea														
508	pancakes																			
509	mineral water	pancakes	eggs	french fries																
510	eggs	escalope	low fat yogurt																	
511	mineral water	french wine	gluten free bar																	
512	burgers	ground beef	spaghetti	eggs	french fries															
513	soup	meatballs	milk	energy bar																
514	chocolate																			
515	herb & pepper																			
516	turkey	red wine	mineral water	eggs	bramble															
517	burgers	ham	frozen vegetables	tomatoes	cake	chicken	green tea	toothpaste	mint											
518	grated cheese	mineral water	olive oil	energy bar																
519	milk	cake	green tea																	
520	mineral water	almonds	cooking oil	cereals	protein bar	white wine	green tea													
521	turkey	fresh tuna	mineral water	milk	eggs	cake	burger sauce	chicken	french fries	frozen smoothie	fresh bread									
522	herb & pepper	mineral water	whole wheat rice	yogurt cake	low fat yogurt															
